id,primary_api,secondary_api,conv_len,n_tool_calls,max_tool_calls_per_turn,has_risky_state_update_api
multi_turn_base_149,TradingBot,MessageAPI,medium,medium,low,True
multi_turn_base_150,TravelAPI,,short,low,low,False
multi_turn_base_151,TravelAPI,TwitterAPI,medium,medium,medium,True
multi_turn_base_152,TravelAPI,TicketAPI,medium,medium,low,True
multi_turn_base_153,TravelAPI,,medium,medium,low,False
multi_turn_base_154,TravelAPI,MessageAPI,medium,medium,low,False
multi_turn_base_155,TravelAPI,,short,low,low,False
multi_turn_base_156,TravelAPI,TicketAPI,medium,medium,low,True
multi_turn_base_157,TravelAPI,MathAPI,medium,low,low,False
multi_turn_base_158,TravelAPI,,medium,low,low,True
multi_turn_base_159,TravelAPI,,medium,low,low,False
multi_turn_base_160,TravelAPI,TicketAPI,medium,low,low,False
multi_turn_base_161,TravelAPI,MathAPI,medium,low,low,False
multi_turn_base_162,TravelAPI,TicketAPI,long,medium,low,False
multi_turn_base_163,TravelAPI,,short,low,low,True
multi_turn_base_164,TravelAPI,,medium,medium,low,False
multi_turn_base_165,TravelAPI,TicketAPI,medium,medium,low,True
multi_turn_base_166,TravelAPI,MessageAPI,medium,medium,low,False
multi_turn_base_167,TravelAPI,,medium,medium,low,True
multi_turn_base_168,TravelAPI,MessageAPI,medium,medium,low,False
multi_turn_base_169,TravelAPI,MessageAPI,short,low,low,False
multi_turn_base_170,TravelAPI,TwitterAPI,long,high,low,True
multi_turn_base_171,TravelAPI,MessageAPI,medium,high,medium,False
multi_turn_base_172,TravelAPI,MessageAPI,medium,medium,low,False
multi_turn_base_173,TravelAPI,TicketAPI,medium,medium,low,False
multi_turn_base_174,TravelAPI,TwitterAPI,medium,high,medium,False
multi_turn_base_175,TravelAPI,TwitterAPI,short,medium,medium,False
multi_turn_base_176,TravelAPI,TicketAPI,short,low,low,True
multi_turn_base_177,TravelAPI,TicketAPI,short,low,low,True
multi_turn_base_178,TravelAPI,TicketAPI,medium,medium,low,True
multi_turn_base_179,TravelAPI,,medium,low,low,True
multi_turn_base_180,TravelAPI,TicketAPI,long,medium,low,True
multi_turn_base_181,TravelAPI,TicketAPI,medium,medium,low,True
multi_turn_base_182,TravelAPI,,short,low,low,False
multi_turn_base_183,TravelAPI,TwitterAPI,long,high,low,True
multi_turn_base_184,TravelAPI,MessageAPI,long,medium,low,True
multi_turn_base_185,TravelAPI,MessageAPI,medium,medium,medium,False
multi_turn_base_186,TravelAPI,TwitterAPI,long,medium,low,True
multi_turn_base_187,TravelAPI,TicketAPI,medium,medium,low,True
multi_turn_base_188,TravelAPI,TwitterAPI,long,high,low,False
multi_turn_base_189,TravelAPI,TwitterAPI,medium,medium,low,True
multi_turn_base_190,TravelAPI,TicketAPI,medium,medium,low,False
multi_turn_base_191,TravelAPI,,medium,medium,low,True
multi_turn_base_192,TravelAPI,,medium,medium,low,False
multi_turn_base_193,TravelAPI,TicketAPI,medium,low,low,True
multi_turn_base_194,TravelAPI,,long,medium,low,True
multi_turn_base_195,TravelAPI,TwitterAPI,medium,medium,low,True
multi_turn_base_196,TravelAPI,TicketAPI,medium,high,low,True
multi_turn_base_197,TravelAPI,MessageAPI,medium,low,low,False
multi_turn_base_198,TravelAPI,TwitterAPI,short,medium,medium,True
multi_turn_base_199,TravelAPI,MessageAPI,medium,medium,low,False
